GeoFIPS,GeoName,CountyFIPS,CountyName
19100,"Dallas-Fort Worth-Arlington, TX (MA)",48497,"Wise, TX"
19140,"Dalton, GA (MA)",13213,"Murray, GA"
19140,"Dalton, GA (MA)",13313,"Whitfield, GA"
19180,"Danville, IL (MA)",17183,"Vermilion, IL"
19300,"Daphne-Fairhope-Foley, AL (MA)",1003,"Baldwin, AL"
19340,"Davenport-Moline-Rock Island, IA-IL (MA)",17073,"Henry, IL"
19340,"Davenport-Moline-Rock Island, IA-IL (MA)",17131,"Mercer, IL"
19340,"Davenport-Moline-Rock Island, IA-IL (MA)",17161,"Rock Island, IL"
19340,"Davenport-Moline-Rock Island, IA-IL (MA)",19163,"Scott, IA"
19430,"Dayton-Kettering, OH (MA)",39057,"Greene, OH"
19430,"Dayton-Kettering, OH (MA)",39109,"Miami, OH"
19430,"Dayton-Kettering, OH (MA)",39113,"Montgomery, OH"
19460,"Decatur, AL (MA)",1079,"Lawrence, AL"
19460,"Decatur, AL (MA)",1103,"Morgan, AL"
19500,"Decatur, IL (MA)",17115,"Macon, IL"
19660,"Deltona-Daytona Beach-Ormond Beach, FL (MA)",12035,"Flagler, FL"
19660,"Deltona-Daytona Beach-Ormond Beach, FL (MA)",12127,"Volusia, FL"
19740,"Denver-Aurora-Lakewood, CO (MA)",8001,"Adams, CO"
19740,"Denver-Aurora-Lakewood, CO (MA)",8005,"Arapahoe, CO"
19740,"Denver-Aurora-Lakewood, CO (MA)",8014,"Broomfield, CO"
19740,"Denver-Aurora-Lakewood, CO (MA)",8019,"Clear Creek, CO"
19740,"Denver-Aurora-Lakewood, CO (MA)",8031,"Denver, CO"
19740,"Denver-Aurora-Lakewood, CO (MA)",8035,"Douglas, CO"
19740,"Denver-Aurora-Lakewood, CO (MA)",8039,"Elbert, CO"
19740,"Denver-Aurora-Lakewood, CO (MA)",8047,"Gilpin, CO"
19740,"Denver-Aurora-Lakewood, CO (MA)",8059,"Jefferson, CO"
19740,"Denver-Aurora-Lakewood, CO (MA)",8093,"Park, CO"
19780,"Des Moines-West Des Moines, IA (MA)",19049,"Dallas, IA"
19780,"Des Moines-West Des Moines, IA (MA)",19077,"Guthrie, IA"
19780,"Des Moines-West Des Moines, IA (MA)",19099,"Jasper, IA"
19780,"Des Moines-West Des Moines, IA (MA)",19121,"Madison, IA"
19780,"Des Moines-West Des Moines, IA (MA)",19153,"Polk, IA"
19780,"Des Moines-West Des Moines, IA (MA)",19181,"Warren, IA"
19820,"Detroit-Warren-Dearborn, MI (MA)",26087,"Lapeer, MI"
19820,"Detroit-Warren-Dearborn, MI (MA)",26093,"Livingston, MI"
19820,"Detroit-Warren-Dearborn, MI (MA)",26099,"Macomb, MI"
19820,"Detroit-Warren-Dearborn, MI (MA)",26125,"Oakland, MI"
19820,"Detroit-Warren-Dearborn, MI (MA)",26147,"St. Clair, MI"
19820,"Detroit-Warren-Dearborn, MI (MA)",26163,"Wayne, MI"
20020,"Dothan, AL (MA)",1061,"Geneva, AL"
20020,"Dothan, AL (MA)",1067,"Henry, AL"
20020,"Dothan, AL (MA)",1069,"Houston, AL"
20100,"Dover, DE (MA)",10001,"Kent, DE"
20220,"Dubuque, IA (MA)",19061,"Dubuque, IA"
20260,"Duluth, MN-WI (MA)",27017,"Carlton, MN"
20260,"Duluth, MN-WI (MA)",27075,"Lake, MN"
20260,"Duluth, MN-WI (MA)",27137,"St. Louis, MN"
20260,"Duluth, MN-WI (MA)",55031,"Douglas, WI"
20500,"Durham-Chapel Hill, NC (MA)",37037,"Chatham, NC"
20500,"Durham-Chapel Hill, NC (MA)",37063,"Durham, NC"
20500,"Durham-Chapel Hill, NC (MA)",37077,"Granville, NC"
20500,"Durham-Chapel Hill, NC (MA)",37135,"Orange, NC"
20500,"Durham-Chapel Hill, NC (MA)",37145,"Person, NC"
20700,"East Stroudsburg, PA (MA)",42089,"Monroe, PA"
20740,"Eau Claire, WI (MA)",55017,"Chippewa, WI"
20740,"Eau Claire, WI (MA)",55035,"Eau Claire, WI"
20940,"El Centro, CA (MA)",6025,"Imperial, CA"
21060,"Elizabethtown-Fort Knox, KY (MA)",21093,"Hardin, KY"
21060,"Elizabethtown-Fort Knox, KY (MA)",21123,"Larue, KY"
21060,"Elizabethtown-Fort Knox, KY (MA)",21163,"Meade, KY"
21140,"Elkhart-Goshen, IN (MA)",18039,"Elkhart, IN"
