GeoFIPS,GeoName,median_rent
19043,"Clayton, IA",680.0
19045,"Clinton, IA",703.0
19047,"Crawford, IA",690.0
19049,"Dallas, IA",1078.0
19051,"Davis, IA",739.0
19053,"Decatur, IA",571.0
19055,"Delaware, IA",702.0
19057,"Des Moines, IA",826.0
19059,"Dickinson, IA",872.0
19061,"Dubuque, IA",836.0
19063,"Emmet, IA",677.0
19065,"Fayette, IA",694.0
19067,"Floyd, IA",584.0
19069,"Franklin, IA",666.0
19071,"Fremont, IA",698.0
19073,"Greene, IA",767.0
19075,"Grundy, IA",709.0
19077,"Guthrie, IA",725.0
19079,"Hamilton, IA",769.0
19081,"Hancock, IA",717.0
19083,"Hardin, IA",706.0
19085,"Harrison, IA",763.0
19087,"Henry, IA",689.0
19089,"Howard, IA",646.0
19091,"Humboldt, IA",619.0
19093,"Ida, IA",562.0
19095,"Iowa, IA",650.0
19097,"Jackson, IA",648.0
19099,"Jasper, IA",743.0
19101,"Jefferson, IA",793.0
19103,"Johnson, IA",1031.0
19105,"Jones, IA",671.0
19107,"Keokuk, IA",720.0
19109,"Kossuth, IA",761.0
19111,"Lee, IA",762.0
19113,"Linn, IA",824.0
19115,"Louisa, IA",710.0
19117,"Lucas, IA",677.0
19119,"Lyon, IA",724.0
19121,"Madison, IA",885.0
19123,"Mahaska, IA",696.0
19125,"Marion, IA",767.0
19127,"Marshall, IA",783.0
19129,"Mills, IA",815.0
19131,"Mitchell, IA",631.0
